journal	n	included
2072	235	120
2073	171	120
2074	1286	12
2075	1786	1200
2076	390	24
2077	471	370
2078	887	708
2079	238	0
2080	241	190
2081	310	209
2082	656	509
2083	1732	1004
2084	258	175
2085	438	276
2086	785	502
2087	403	226
2088	1112	598
2089	161	83
2090	385	283
2091	273	193
2092	257	187
2093	566	417
2094	1754	807
2095	66	0
2096	538	431
2097	309	226
2098	83	12
2099	74	0
2100	279	0
2101	68	42
2102	332	195
2103	706	424
2104	25	0
2105	277	185
2106	103	63
2107	31	0
2108	202	122
2109	211	1
2110	1557	1234
2111	54	38
2112	655	473
2113	337	214
2114	388	186
2115	1112	876
2116	1317	885
2117	109	72
2118	2945	1762
2119	311	185
2120	487	6
2121	149	64
2122	1688	627
2123	7	3
2124	223	72
2125	453	282
2126	43	26
2127	429	222
2128	955	702
2129	207	96
2130	390	136
2131	8	0
2132	233	133
2133	785	480
2134	642	416
2135	191	38
2136	414	49
2137	3	0
2138	6	2
2139	322	166
2140	269	168
2141	84	52
2142	1298	874
2143	199	180
2144	631	463
2145	134	0
2146	50	3
2147	432	290
2148	127	69
2149	156	113
2150	856	500
2151	2838	1449
2152	2744	1526
2153	159	97
2154	219	149
2155	187	146
2156	347	184
2157	241	151
2158	139	0
2159	2	0
2160	314	132
2161	13	0
2162	177	122
2163	373	239
2164	591	320
2165	25	0
2166	208	123
2167	121	99
2168	57	13
2169	119	90
2170	273	84
2171	143	63
2172	1616	1072
2173	470	280
2174	1092	833
2175	115	36
2176	627	199
2177	372	0
2178	478	324
2179	1103	825
2180	182	145
2181	11	6
2182	310	229
2183	214	52
2184	417	114
2185	287	0
2186	846	555
2187	536	378
2188	3	0
2189	199	88
2190	103	81
2191	7	1
2192	517	375
2193	139	96
2194	354	241
2195	70	54
2196	271	200
2197	206	112
2198	282	208
2199	697	486
2200	16	2
2201	151	0
2202	238	59
2203	44	0
2204	265	171
2205	392	176
2206	145	0
2207	2221	1565
2208	1323	847
2209	131	97
2210	273	186
2211	875	493
2212	1179	563
2213	134	3
2214	200	113
2215	344	237
2216	7	0
2217	803	107
2218	204	153
2219	13	3
2220	324	173
2221	267	189
2222	168	125
2223	792	586
2224	49	44
2225	96	68
2226	485	269
2227	818	491
2228	109	69
2229	63	42
2230	13	0
2231	97	63
2232	504	324
2233	98	77
2234	40	0
2235	611	422
2236	749	273
2237	140	87
2238	2067	644
2239	19	9
2240	430	302
2241	5	0
2242	21	2
2243	236	180
2244	47	0
2245	886	642
2246	42	8
2247	1120	913
2248	1043	724
2249	307	126
2250	474	347
2251	299	95
2252	419	0
2253	1114	817
2254	184	102
2255	588	295
2256	274	92
2257	214	116
2258	440	301
2259	595	414
2260	72	28
2261	63	39
2262	834	243
2263	51	30
2264	1028	8
2265	488	379
2266	581	441
2267	1137	622
2268	35	17
2269	516	359
2270	28	21
2271	590	422
2272	528	393
2273	801	484
2274	1374	925
2275	184	108
2276	1298	823
2277	1869	1243
2278	75	57
2279	94	49
2280	433	185
2281	733	409
2282	2391	755
2283	859	508
2284	426	346
2285	2183	162
2286	216	139
2287	164	131
2288	27	0
2289	127	72
2290	83	0
2291	74	35
2292	190	0
2293	201	92
2294	616	378
2295	476	36
2296	11	4
2297	184	44
2298	32	0
2299	223	142
2300	46	31
2301	240	32
2302	181	98
2303	516	433
2304	384	248
2305	121	26
2306	236	176
2307	595	403
2308	65	0
2309	206	96
2310	309	180
2311	1378	914
2312	82	49
2313	398	252
2314	238	83
2315	129	0
2316	1	0
2317	211	96
2318	433	305
2319	94	62
2320	521	285
2321	133	93
2322	560	401
2323	243	174
2324	521	248
2325	873	612
2326	36	0
2327	770	644
2328	784	545
2329	662	459
2330	427	177
2331	94	2
2332	361	258
2333	336	170
2334	231	161
2335	176	102
2336	1295	5
2337	28	14
2338	17	13
2339	539	352
2340	176	101
2341	1572	1016
2342	511	252
2343	722	529
2344	509	121
2345	258	118
2346	122	100
2347	171	120
2348	921	72
2349	1061	673
2350	788	511
2351	54	0
2352	401	244
2353	272	78
2354	504	376
2355	114	43
2356	365	303
2357	345	249
2358	377	239
2359	496	297
2360	208	0
2361	114	72
2362	175	123
2363	8	0
2364	187	67
2365	1059	559
2366	357	115
2367	360	243
2368	755	0
2369	854	509
2370	29	10
2371	1140	802
2372	579	328
2373	48	18
2374	177	119
2375	470	306
2376	828	635
2377	840	193
2378	658	487
2379	1005	3
2380	164	0
2381	242	146
2382	82	32
2383	907	616
2384	164	110
2385	785	374
2386	67	31
2387	79	63
2388	1486	826
2389	361	223
2390	963	623
2391	1525	1010
2392	79	40
2393	115	74
2394	144	87
2395	189	93
2396	341	240
2397	469	373
2398	316	218
2399	59	39
2400	267	208
2401	73	33
2402	1199	626
2403	188	5
2404	588	440
2405	817	547
2406	103	0
2407	195	0
2408	111	65
2409	403	263
2410	515	226
2411	514	394
2412	452	205
2413	64	14
2414	844	410
2415	392	265
2416	1519	1099
2417	14	0
2418	390	82
2419	959	505
2420	284	61
2421	149	96
2422	97	64
2423	2691	1822
2424	221	144
2425	65	37
2426	331	129
2427	446	304
2428	499	0
2429	353	0
2430	377	115
2431	671	217
2432	52	0
2433	72	46
2434	409	343
2435	682	500
2436	41	19
2437	16	13
2438	141	53
2439	309	237
2440	29	12
2441	1378	6
2442	311	1
2443	66	33
2444	303	0
2445	5	0
2446	338	23
2447	274	107
2448	1550	1064
2449	1397	945
2450	238	81
2451	340	1
2452	150	41
2453	20	0
2454	55	39
2455	1311	905
2456	64	39
2457	1020	524
2458	588	344
2459	208	43
2460	724	493
2461	8	5
2462	254	90
2463	364	259
2464	330	0
2465	2	1
2466	62	46
2467	24	0
2468	23	0
2469	52	39
2470	171	135
2471	913	593
2472	632	209
2473	625	9
2474	290	130
2475	1295	648
2476	114	55
2477	767	412
2478	4	0
2479	508	343
2480	1309	904
2481	45	37
2482	994	621
2483	20	11
2484	264	106
2485	203	146
2486	438	346
2487	413	293
2488	901	656
2489	1731	1136
2490	66	51
2491	186	140
2492	329	46
2493	128	28
2494	293	221
2495	28	7
2496	2	0
2497	877	681
2498	9	0
2499	259	0
2500	777	536
2501	1372	788
2502	388	261
2503	148	0
2504	2311	1770
2505	502	285
2506	937	4
2507	611	389
2508	548	364
2509	999	694
2510	519	298
2511	1730	577
2512	241	142
2513	808	481
2514	2612	1985
2515	627	456
2516	452	1
2517	23	0
2518	2060	1254
2519	790	365
2520	63	43
2521	24	0
2522	199	50
2523	239	165
2524	1625	1174
2525	81	51
2526	156	0
2527	423	235
2528	289	167
2529	167	0
2530	66	47
2531	430	2
2532	3	0
2533	93	57
2534	69	56
2535	770	477
2536	476	313
2537	259	203
2538	43	29
2539	156	97
2540	261	141
2541	499	131
2542	1832	1466
2543	96	41
2544	7	0
2545	114	79
2546	594	329
2547	1298	938
2548	566	410
2549	960	557
2550	333	251
2551	766	559
2552	195	106
2553	289	211
2554	33	16
2555	449	298
2556	352	240
2557	76	47
2558	178	0
2559	259	173
2560	407	351
2561	356	0
2562	175	81
2563	354	3
2564	256	87
2565	950	660
2566	445	1
2567	51	22
2568	1247	846
2569	355	228
2570	1536	3
2571	3806	2242
2572	48	35
2573	422	208
2574	671	251
2575	23	0
2576	635	463
2577	116	43
2578	25	0
2579	322	267
2580	539	410
2581	1379	0
2582	798	451
2583	1016	640
2584	282	135
2585	496	6
2586	463	270
2587	1377	714
2588	611	396
2589	131	99
2590	1614	8
2591	217	97
2592	233	100
2593	657	384
2594	635	5
2595	265	108
2596	1143	4
2597	69	52
2598	48	36
2599	132	74
2600	820	577
2601	490	373
2602	312	188
2603	314	239
2604	6	0
2605	256	192
2606	861	453
2607	16	8
2608	125	49
2609	20	7
2610	401	272
2611	329	195
2612	1908	1300
2613	276	193
2614	36	17
2615	165	0
2616	60	41
2617	195	60
2618	508	313
2619	563	345
2620	1138	717
2621	395	265
2622	2172	849
2623	1029	589
2624	73	36
2625	249	180
2626	1307	26
2627	975	637
2628	362	289
2629	161	80
2630	132	40
2631	215	139
2632	91	0
2633	147	71
2634	399	300
2635	507	316
2636	22	15
2637	366	276
2638	189	66
2639	218	146
2640	1462	713
2641	157	0
2642	85	51
2643	192	95
2644	279	196
2645	554	392
2646	48	15
2647	392	221
2648	491	354
2649	276	159
2650	57	0
2651	692	447
2652	39	29
2653	30	15
2654	457	3
2655	203	141
2656	752	455
2657	52	26
2658	1406	502
2659	185	149
2660	84	60
2661	363	317
2662	140	67
2663	294	207
2664	91	37
2665	128	80
2666	822	620
2667	47	0
2668	30	18
2669	910	648
2670	626	296
2671	931	9
2672	180	132
2673	423	332
2674	53	30
2675	1169	844
2676	178	66
2677	354	211
2678	317	261
2679	1326	801
2680	226	130
2681	524	378
2682	105	50
2683	462	339
2684	446	302
2685	363	0
2686	179	124
2687	209	125
2688	174	128
2689	1147	698
2690	209	100
2691	396	280
2692	424	285
2693	2	1
2694	52	4
2695	416	280
2696	495	222
2697	37	0
2698	22	0
2699	407	272
2700	954	655
2701	198	147
2702	286	115
2703	236	95
2704	467	353
2705	58	47
2706	279	202
2707	158	0
2708	37	23
2709	829	612
2710	97	0
2711	750	30
2712	1748	428
2713	538	356
2714	165	112
2715	398	257
2716	197	58
2717	1272	953
2718	60	0
2719	1345	1016
2720	1085	29
2721	99	0
2722	145	84
2723	556	268
2724	63	39
2725	1015	620
2726	10	4
2727	214	97
2728	826	481
2729	548	313
2730	137	0
2731	18	1
2732	122	35
2733	367	172
2734	1766	3
2735	55	40
2736	705	496
2737	772	472
2738	11	7
2739	50	22
2740	65	0
2741	343	212
2742	114	46
2743	152	124
2744	98	0
2745	192	90
2746	352	155
2747	2233	1694
2748	631	331
2749	1392	879
2750	946	574
2751	341	201
2752	87	64
2753	623	434
2754	120	9
2755	180	114
2756	183	0
2757	92	53
2758	413	362
2759	214	133
2760	330	219
2761	19	5
2762	970	592
2763	48	37
2764	835	479
2765	784	457
2766	323	102
2767	119	0
2768	9	7
2769	158	121
2770	684	378
2771	389	243
2772	549	373
2773	49	40
2774	142	3
2775	1144	553
2776	262	156
2777	513	268
2778	449	302
2779	376	0
2780	28	0
2781	111	54
2782	458	282
2783	271	217
2784	113	0
2785	21	0
2786	573	418
2787	270	125
2788	182	108
2789	743	298
2790	54	0
2791	153	113
2792	269	121
2793	60	40
2794	114	60
2795	911	531
2796	1259	869
2797	68	27
2798	15	0
2799	197	134
2800	140	100
2801	22	0
2802	69	0
2803	133	0
2804	43	30
2805	361	217
2806	863	639
2807	499	409
2808	18	15
2809	162	58
2810	203	127
2811	23	7
2812	217	130
2813	144	0
2814	65	47
2815	36	17
2816	1253	785
2817	475	372
2818	117	0
2819	240	182
2820	570	347
2821	1295	692
2822	76	25
2823	1003	618
2824	279	183
2825	216	171
2826	1201	5
2827	92	42
2828	206	0
2829	491	267
2830	733	450
2831	399	253
2832	788	457
2833	866	614
2834	1144	881
2835	2	0
2836	76	64
2837	1166	563
2838	81	65
2839	1141	662
2840	107	64
2841	46	0
2842	464	327
2843	216	0
2844	60	0
2845	255	190
2846	454	319
2847	45	0
2848	336	234
2849	164	99
2850	532	372
2851	1233	855
2852	1799	1151
2853	90	0
2854	2312	1449
2855	73	35
2856	225	147
2857	74	0
2858	11	0
2859	25	16
2860	354	241
2861	16	0
2862	87	57
2863	663	4
2864	524	99
2865	1727	1194
2866	40	21
2867	11	7
2868	281	107
2869	235	134
2870	300	84
2871	71	21
2872	354	297
2873	196	0
2874	231	176
2875	207	145
2876	89	48
2877	1339	621
2878	266	0
2879	97	68
2880	662	466
2881	638	472
2882	751	0
2883	1099	704
2884	551	382
2885	410	239
2886	34	12
2887	616	311
2888	68	0
2889	95	33
2890	596	0
2891	1576	4
2892	539	327
2893	226	72
2894	5	0
2895	16	8
2896	48	22
2897	317	182
2898	967	600
2899	60	33
2900	229	157
2901	272	0
2902	334	191
2903	281	142
2904	484	374
2905	41	31
2906	451	244
2907	68	42
2908	1183	800
2909	64	38
2910	181	117
2911	116	0
2912	190	128
2913	180	105
2914	952	791
2915	320	200
2916	216	174
2917	29	14
2918	183	151
2919	411	307
2920	246	0
2921	55	0
2922	40	4
2923	1281	747
2924	186	83
2925	112	0
2926	154	113
2927	76	37
2928	155	81
2929	203	0
2930	797	0
2931	21	11
2932	1297	891
2933	478	316
2934	110	12
2935	606	378
2936	807	417
2937	630	8
2938	407	185
2939	83	59
2940	641	362
2941	590	275
2942	88	64
2943	671	505
2944	61	0
2945	147	83
2946	63	0
2947	61	22
2948	17	14
2949	97	52
2950	1126	711
2951	99	59
2952	116	68
2953	140	118
2954	342	0
2955	221	159
2956	606	23
2957	29	0
2958	163	130
2959	391	332
2960	556	409
2961	859	625
2962	1639	9
2963	97	0
2964	773	544
2965	125	35
2966	1162	624
2967	15	2
2968	150	103
2969	224	179
2970	232	2
2971	265	181
2972	174	1
2973	96	14
2974	23	12
2975	45	22
2976	44	0
2977	323	63
2978	95	58
2979	472	287
2980	800	432
2981	986	571
2982	300	30
2983	849	353
2984	87	41
2985	378	226
2986	795	6
2987	50	0
2988	201	140
2989	427	283
2990	71	32
2991	153	80
2992	23	12
2993	34	28
2994	2	1
2995	1254	1007
2996	234	99
2997	937	787
2998	37	29
2999	41	31
3000	29	25
3001	232	136
3002	97	35
3003	978	554
3004	25	0
3005	13	6
3006	22	9
3007	84	57
3008	77	65
3009	209	158
3010	176	130
3011	491	1
3012	736	552
3013	972	762
3014	35	1
3015	123	0
3016	44	19
3017	98	66
3018	1560	1
3019	480	269
3020	149	88
3021	267	4
3022	13	0
3023	1978	1279
3024	193	0
3025	25	7
3026	135	76
3027	972	569
3028	725	489
3029	348	0
3030	340	197
3031	50	36
3032	85	46
3033	274	167
3034	951	761
3035	461	310
3036	917	554
3037	251	141
3038	248	160
3039	331	209
3040	92	59
3041	598	274
3042	32	14
3043	281	95
3044	218	168
3045	488	413
3046	289	195
3047	623	17
3048	169	113
3049	293	213
3050	56	23
3051	508	0
3052	84	45
3053	115	74
3054	1110	755
3055	16	5
3056	314	146
3057	342	183
3058	107	45
3059	362	233
3060	1426	835
3061	433	269
3062	32	10
3063	570	239
3064	80	61
3065	203	0
3066	106	0
3067	3	2
3068	53	8
3069	291	146
3070	575	356
3071	57	0
3072	22	0
3073	594	447
3074	62	53
3075	72	56
3076	1223	826
3077	122	31
3078	128	66
3079	11	0
3080	390	0
3081	481	296
3082	66	45
3083	33	22
3084	372	280
3085	28	11
3086	101	34
3087	792	416
3088	97	50
3089	247	178
3090	595	309
3091	317	207
3092	61	48
3093	241	186
3094	377	136
3095	380	279
3096	673	491
3097	22	9
3098	340	259
3099	353	255
3100	326	240
3101	96	2
3102	3	0
3103	167	90
3104	284	161
3105	556	420
3106	584	197
3107	610	410
3108	993	786
3109	909	445
3110	405	260
3111	1482	787
3112	456	261
3113	275	151
3114	218	40
3115	105	83
3116	552	391
3117	677	390
3118	743	509
3119	20	13
3120	787	541
3121	574	80
3122	198	2
3123	137	92
3124	288	179
3125	306	192
3126	455	196
3127	22	16
3128	1902	1238
3129	743	578
3130	231	158
3131	87	53
3132	13	6
3133	1882	1312
3134	121	0
3135	223	152
3136	297	165
3137	454	309
3138	1419	942
3139	207	0
3140	793	582
3141	125	0
3142	145	136
3143	427	10
3144	221	0
3145	130	94
3146	7	5
3147	576	423
3148	19	0
3149	1149	853
3150	404	296
3151	507	367
3152	487	122
3153	337	235
3154	268	147
3155	191	154
3156	35	25
3157	347	238
3158	33	18
3159	297	0
3160	97	52
3161	33	20
3162	1357	936
3163	112	88
3164	264	0
3165	356	265
3166	228	158
3167	146	0
3168	297	207
3169	91	50
3170	507	351
3171	169	84
3172	449	3
3173	112	0
3174	477	324
3175	80	61
3176	239	0
3177	259	23
3178	62	42
3179	87	0
3180	1262	786
3181	316	0
3182	188	115
3183	219	102
3184	996	729
3185	800	569
3186	38	22
3187	497	319
3188	13	0
3189	159	0
3190	385	297
3191	432	202
3192	76	56
3193	577	0
3194	497	355
3195	84	12
3196	371	248
3197	18	2
3198	506	463
3199	155	0
3200	419	277
3201	17	12
3202	389	257
3203	296	0
3204	126	88
3205	118	67
3206	84	57
3207	138	113
3208	47	26
3209	193	160
3210	275	166
3211	434	254
3212	110	61
3213	19	0
3214	70	25
3215	88	0
3216	383	0
3217	91	64
3218	2	0
3219	70	51
3220	112	101
3221	435	249
3222	181	109
3223	89	69
3224	103	46
3225	446	159
3226	188	0
3227	46	15
3228	864	607
3229	256	160
3230	779	446
3231	25	13
3232	87	0
3233	385	230
3234	12	6
3235	550	2
3236	52	22
3237	1144	678
3238	117	51
3239	63	0
3240	5	2
3241	457	227
3242	203	148
3243	32	23
3244	571	307
3245	591	5
3246	8	3
3247	385	243
3248	528	230
3249	342	206
3250	468	341
3251	1101	865
3252	2390	1327
3253	340	255
3254	418	273
3255	284	197
3256	39	0
3257	620	0
3258	4	0
3259	22	0
3260	550	441
3261	23	8
3262	127	0
3263	1653	1059
3264	734	490
3265	16	7
3266	656	253
3267	312	246
3268	664	392
3269	65	49
3270	3	1
3271	154	70
3272	761	576
3273	104	62
3274	58	30
3275	1065	732
3276	302	200
3277	25	0
3278	1093	2
3279	179	100
3280	58	21
3281	140	5
3282	11	0
3283	380	282
3284	1162	698
3285	181	116
3286	11	0
3287	1069	770
3288	249	170
3289	667	503
3290	4	0
3291	1845	1268
3292	96	0
3293	741	354
3294	114	0
3295	251	170
3296	187	64
3297	541	367
3298	36	8
3299	76	39
3300	21	9
3301	358	228
3302	71	53
3303	1767	996
3304	10	1
3305	205	0
3306	1099	705
3307	109	54
3308	93	0
3309	44	16
3310	16	15
3311	219	120
3312	84	59
3313	81	42
3314	81	57
3315	14	6
3316	7	3
3317	1538	12
3318	562	364
3319	429	154
3320	95	70
3321	1290	785
3322	315	225
3323	10	0
3324	6	0
3325	115	93
3326	486	376
3327	146	50
3328	209	0
3329	161	117
3330	130	0
3331	47	31
3332	67	57
3333	398	160
3334	298	154
3335	126	82
3336	81	59
3337	538	408
3338	23	15
3339	1139	690
3340	59	31
3341	449	347
3342	89	0
3343	2760	1640
3344	54	25
3345	421	252
3346	400	0
3347	832	0
3348	38	25
3349	232	194
3350	3	0
3351	331	270
3352	23	8
3353	113	0
3354	80	3
3355	33	23
3356	183	53
3357	74	65
3358	296	223
3359	336	0
3360	276	191
3361	264	0
3362	112	76
3363	252	180
3364	340	1
3365	47	34
3366	376	270
3367	130	83
3368	81	50
3369	4	0
3370	112	0
3371	237	150
3372	23	0
3373	105	74
3374	35	24
3375	35	16
3376	55	32
3377	223	125
3378	829	442
3379	94	47
3380	23	10
3381	3	3
3382	97	75
3383	164	98
3384	210	159
3385	111	3
3386	29	19
3387	447	230
3388	274	172
3389	8	3
3390	11	0
3391	170	125
3392	271	2
3393	10	4
3394	509	347
3395	58	32
3396	13	0
3397	91	0
3398	136	88
3399	8	5
3400	1	0
3401	394	332
3402	1052	832
3403	6	5
3404	301	208
3405	54	26
3406	540	349
3407	243	123
3408	59	0
3409	259	92
3410	1547	986
3411	478	281
3412	494	154
3413	31	20
3414	725	532
3415	24	15
3416	428	0
3417	109	51
3418	406	200
3419	493	349
3420	147	102
3421	169	127
3422	1062	0
3423	295	0
3424	297	219
3425	831	536
3426	86	0
3427	203	132
3428	697	359
3429	123	78
3430	440	390
3431	616	371
3432	256	196
3433	118	68
3434	324	207
3435	901	683
3436	1088	412
3437	11	0
3438	799	308
3439	100	0
3440	69	1
3441	62	0
3442	87	43
3443	1077	476
3444	875	582
3445	136	96
3446	1184	17
3447	340	169
3448	24	16
3449	427	0
3450	1426	933
3451	32	9
3452	49	34
3453	396	179
3454	63	51
3455	19	0
3456	1	0
3457	31	15
3458	56	31
3459	68	0
3460	160	119
3461	42	27
3462	191	0
3463	945	725
3464	114	20
3465	803	396
3466	30	0
3467	271	0
3468	742	486
3469	243	156
3470	82	72
3471	49	32
3472	15	11
3473	16	4
3474	268	195
3475	19	19
3476	33	26
3477	29	0
3478	267	151
3479	205	105
3480	504	0
3481	26	5
3482	321	220
3483	1512	872
3484	212	177
3485	17	0
3486	589	452
3487	5	2
3488	91	76
3489	311	256
3490	109	89
3491	163	0
3492	224	153
3493	30	0
3494	140	101
3495	101	44
3496	272	168
3497	633	432
3498	20	8
3499	98	0
3500	15	0
3501	59	0
3502	234	52
3503	272	163
3504	78	0
3505	35	0
3506	322	256
3507	19	0
3508	25	0
3509	175	102
3510	767	471
3511	1	0
3512	102	79
3513	515	376
3514	2	1
3515	99	0
3516	499	331
3517	102	71
3518	207	0
3519	31	0
3520	8	2
3521	452	2
3522	33	19
3523	168	122
3524	35	25
3525	2	1
3526	2	2
3527	567	363
3528	370	300
3529	233	138
3530	59	45
3531	299	0
3532	24	14
3533	52	34
3534	145	111
3535	545	415
3536	228	60
3537	414	187
3538	41	16
3539	49	36
3540	55	0
3541	22	13
3542	106	47
3543	45	0
3544	30	29
3545	904	561
3546	745	467
3547	52	40
3548	942	631
3549	248	176
3550	27	19
3551	78	0
3552	2097	1231
3553	627	409
3554	1457	1138
3555	236	161
3556	97	23
3557	157	110
3558	296	227
3559	331	99
3560	364	0
3561	406	246
3562	45	22
3563	714	5
3564	7	2
3565	295	76
3566	52	0
3567	172	117
3568	96	74
3569	599	392
3570	78	60
3571	206	0
3572	37	13
3573	218	164
3574	303	210
3575	112	0
3576	116	61
3577	666	512
3578	182	154
3579	113	63
3580	122	75
3581	19	7
3582	619	0
3583	1686	446
3584	11	7
3585	36	0
3586	3741	0
3587	1177	2
3588	39	28
3589	68	16
3590	467	305
3591	169	0
3592	359	196
3593	476	362
3594	298	141
3595	2	0
3596	571	0
3597	42	0
3598	130	68
3599	594	421
3600	360	295
3601	1	0
3602	592	274
3603	19	7
3604	434	313
3605	146	0
3606	396	299
3607	103	59
3608	27	0
3609	6	0
3610	39	0
3611	77	48
3612	190	0
3613	197	36
3614	239	130
3615	679	458
3616	1272	911
3617	666	170
3618	221	55
3619	50	5
3620	333	267
3621	20	15
3622	371	258
3623	117	77
3624	414	1
3625	278	6
3626	2	1
3627	50	41
3628	195	155
3629	177	92
3630	14	7
3631	177	98
3632	501	0
3633	213	0
3634	226	169
3635	263	168
3636	73	35
3637	219	144
3638	523	354
3639	155	113
3640	598	0
3641	22	0
3642	402	0
3643	126	0
3644	19	14
3645	400	204
3646	387	303
3647	24	0
3648	84	45
3649	554	345
3650	117	48
3651	157	103
3652	15	0
3653	441	130
3654	692	422
3655	211	0
3656	607	440
3657	53	15
3658	264	205
3659	130	94
3660	4	1
3661	406	308
3662	612	347
3663	26	21
3664	34	25
3665	245	183
3666	809	653
3667	15	0
3668	29	0
3669	10	7
3670	155	116
3671	420	325
3672	9	7
3673	7	1
3674	585	330
3675	400	264
3676	110	0
3677	248	117
3678	121	84
3679	277	174
3680	542	323
3681	87	69
3682	197	114
3683	164	128
3684	269	13
3685	56	45
3686	43	23
3687	239	163
3688	349	210
3689	445	237
3690	607	339
3691	260	212
3692	96	52
3693	96	54
3694	196	104
3695	16	0
3696	126	70
3697	4	0
3698	1562	873
3699	1	1
3700	471	329
3701	149	87
3702	1294	208
3703	160	0
3704	266	192
3705	39	0
3706	281	4
3707	139	96
3708	50	44
3709	668	30
3710	59	34
3711	40	0
3712	392	82
3713	94	72
3714	91	75
3715	3	1
3716	96	34
3717	47	31
3718	321	0
3719	331	244
3720	750	28
3721	408	0
3722	375	203
3723	661	435
3724	130	103
3725	77	50
3726	247	178
3727	516	284
3728	84	60
3729	81	38
3730	66	38
3731	447	134
3732	4	0
3733	425	1
3734	46	18
3735	1826	1244
3736	132	98
3737	284	184
3738	48	30
3739	15	10
3740	7	0
3741	18	0
3742	52	0
3743	59	28
3744	1	0
3745	981	624
3746	763	574
3747	221	148
3748	492	374
3749	1244	0
3750	97	67
3751	339	241
3752	240	147
3753	76	37
3754	162	126
3755	117	81
3756	439	247
3757	1681	1249
3758	64	0
3759	7	2
3760	129	88
3761	24	20
3762	8	4
3763	10	4
3764	1	0
3765	90	46
3766	690	475
3767	191	80
3768	28	0
3769	14	0
3770	258	136
3771	55	42
3772	75	0
3773	298	160
3774	316	213
3775	86	65
3776	12	0
3777	366	252
3778	94	38
3779	228	170
3780	64	34
3781	55	30
3782	324	52
3783	130	0
3784	110	6
3785	162	98
3786	5	0
3787	407	262
3788	576	440
3789	11	0
3790	296	149
3791	125	89
3792	211	59
3793	79	32
3794	307	162
3795	62	55
3796	619	3
3797	21	15
3798	32	14
3799	21	18
3800	1068	780
3801	146	0
3802	8	5
3803	30	24
3804	5	0
3805	277	41
3806	689	448
3807	6	1
3808	22	8
3809	438	0
3810	129	88
3811	83	0
3812	88	0
3813	16	10
3814	55	11
3815	2	1
3816	76	45
3817	163	0
3818	772	640
3819	88	56
3820	11	0
3821	37	0
3822	45	0
3823	36	33
3824	289	275
3825	580	0
3826	140	0
3827	24	0
3828	9	0
3829	561	360
3830	483	306
3831	295	178
3832	19	0
3833	26	18
3834	158	41
3835	66	2
3836	18	3
3837	123	68
3838	327	265
3839	88	0
3840	534	322
3841	15	10
3842	25	15
3843	27	11
3844	1221	821
3845	214	0
3846	1	1
3847	711	103
3848	359	309
3849	338	225
3850	58	0
3851	614	454
3852	102	77
3853	140	67
3854	77	57
3855	64	36
3856	7	7
3857	287	221
3858	327	220
3859	42	21
3860	285	201
3861	31	17
3862	134	0
3863	105	0
3864	133	0
3865	10	0
3866	28	19
3867	1395	11
3868	910	386
3869	150	68
3870	151	101
3871	95	64
3872	278	192
3873	136	89
3874	5	2
3875	78	0
3876	552	351
3877	453	118
3878	26	14
3879	83	9
3880	429	3
3881	22	9
3882	609	387
3883	34	20
3884	45	0
3885	57	1
3886	37	27
3887	291	218
3888	21	0
3889	6	0
3890	94	0
3891	157	120
3892	247	0
3893	34	0
3894	392	259
3895	246	142
3896	485	50
3897	204	95
3898	684	374
3899	289	131
3900	326	201
3901	83	61
3902	31	29
3903	122	0
3904	851	301
3905	22	7
3906	562	379
3907	793	555
3908	630	455
3909	124	17
3910	1	0
3911	91	74
3912	13	6
3913	244	110
3914	9	0
3915	237	95
3916	51	32
3917	350	92
3918	30	0
3919	1	0
3920	62	34
3921	61	27
3922	229	95
3923	268	187
3924	92	58
3925	750	434
3926	872	445
3927	420	283
3928	2	2
3929	358	267
3930	6	2
3931	186	0
3932	95	0
3933	36	16
3934	632	307
3935	286	228
3936	35	0
3937	80	58
3938	46	15
3939	21	13
3940	123	86
3941	101	93
3942	12	0
3943	643	457
3944	36	14
3945	5	5
3946	64	43
3947	14	0
3948	34	0
3949	6	3
3950	206	153
3951	43	38
3952	42	38
3953	509	384
3954	14	13
3955	787	513
3956	104	0
3957	63	51
3958	2817	6
3959	21	8
3960	338	257
3961	163	0
3962	6	4
3963	168	112
3964	106	86
3965	540	73
3966	37	28
3967	78	44
3968	45	0
3969	50	37
3970	209	186
3971	47	35
3972	200	126
3973	446	0
3974	182	78
3975	72	0
3976	323	248
3977	2	0
3978	217	64
3979	122	0
3980	21	0
3981	394	28
3982	425	303
3983	15	0
3984	5	4
3985	71	0
3986	819	340
3987	109	93
3988	473	347
3989	317	267
3990	40	9
3991	56	1
3992	329	271
3993	199	0
3994	45	21
3995	31	16
3996	85	66
3997	110	0
3998	20	4
3999	37	31
4000	595	361
4001	7	0
4002	646	438
4003	255	148
4004	850	553
4005	6	4
4006	51	32
4007	54	42
4008	43	0
4009	79	47
4010	47	0
4011	728	378
4012	430	272
4013	11	2
4014	176	0
4015	71	0
4016	4	4
4017	864	570
4018	15	11
4019	39	7
4020	4	2
4021	265	192
4022	5	2
4023	85	0
4024	72	0
4025	139	0
4026	583	132
4027	175	120
4028	71	6
4029	123	84
4030	35	25
4031	5	2
4032	19	10
4033	251	208
4034	870	472
4035	94	0
4036	198	124
4037	161	0
4038	35	0
4039	65	43
4040	80	65
4041	234	191
4042	39	0
